# .text relocations, oplus_security_guard.ko
# relocations for .text: 214 entries
# offset     type                   target
  0x914      ADR_PREL_PG_HI21       .rodata+0xaa3
  0x918      ADR_PREL_PG_HI21       .rodata+0x9b6
  0x91c      ADD_ABS_LO12_NC        .rodata+0xaa3
  0x920      ADD_ABS_LO12_NC        .rodata+0x9b6
  0x928      CALL26                 printk
  0x930      CALL26                 __stack_chk_fail
  0x934      ADR_PREL_PG_HI21       .rodata+0xafa
  0x938      ADD_ABS_LO12_NC        .rodata+0xafa
  0x944      ADR_PREL_PG_HI21       .rodata+0x415
  0x94c      ADD_ABS_LO12_NC        .rodata+0x415
  0x960      CALL26                 snprintf
  0x978      CALL26                 kevent_send_to_user
  0x97c      ADR_PREL_PG_HI21       .rodata+0xaa3
  0x980      ADR_PREL_PG_HI21       .rodata+0x30e
  0x984      ADD_ABS_LO12_NC        .rodata+0xaa3
  0x988      ADD_ABS_LO12_NC        .rodata+0x30e
  0x990      CALL26                 printk
  0x99c      CALL26                 free_pages
  0x9a4      ADR_PREL_PG_HI21       .rodata+0x8da
  0x9a8      ADD_ABS_LO12_NC        .rodata+0x8da
  0x9b0      CALL26                 printk
  0x9b8      CALL26                 do_exit
  0x9d4      ADR_PREL_PG_HI21       .data..ro_after_init
  0x9d8      LDST8_ABS_LO12_NC      .data..ro_after_init
  0xa0c      ADR_PREL_PG_HI21       .rodata+0x120
  0xa10      ADD_ABS_LO12_NC        .rodata+0x120
  0xa40      CALL26                 capable
  0xa5c      ADR_PREL_PG_HI21       .rodata+0x370
  0xa60      ADD_ABS_LO12_NC        .rodata+0x370
  0xa70      CALL26                 printk
  0xa98      CALL26                 capable
  0xab0      ADR_PREL_PG_HI21       .rodata+0xa03
  0xab4      ADD_ABS_LO12_NC        .rodata+0xa03
  0xac0      CALL26                 printk
  0xaf8      CALL26                 capable
  0xb14      ADR_PREL_PG_HI21       .rodata+0x6a6
  0xb18      ADD_ABS_LO12_NC        .rodata+0x6a6
  0xb28      CALL26                 printk
  0xb5c      CALL26                 capable
  0xb74      ADR_PREL_PG_HI21       .rodata+0x916
  0xb78      ADD_ABS_LO12_NC        .rodata+0x916
  0xb84      CALL26                 printk
  0xbc0      CALL26                 capable
  0xbe0      ADR_PREL_PG_HI21       .rodata+0x13c
  0xbe4      ADD_ABS_LO12_NC        .rodata+0x13c
  0xbf8      CALL26                 printk
  0xc28      CALL26                 capable
  0xc48      ADR_PREL_PG_HI21       .rodata+0x421
  0xc4c      ADD_ABS_LO12_NC        .rodata+0x421
  0xc60      CALL26                 printk
  0xc78      CALL26                 .text+0xc80
  0xca8      ADR_PREL_PG_HI21       __stack_chk_guard
  0xcac      LDST64_ABS_LO12_NC     __stack_chk_guard
  0xcd8      CALL26                 memset
  0xce4      ADR_PREL_PG_HI21       .rodata+0xb0f
  0xcec      ADD_ABS_LO12_NC        .rodata+0xb0f
  0xd08      ADR_PREL_PG_HI21       .rodata+0xb30
  0xd0c      ADD_ABS_LO12_NC        .rodata+0xb30
  0xd14      ADR_PREL_PG_HI21       kmalloc_caches+0x40
  0xd1c      LDST64_ABS_LO12_NC     kmalloc_caches+0x40
  0xd3c      CALL26                 kmem_cache_alloc_trace
  0xd44      ADR_PREL_PG_HI21       __stack_chk_guard
  0xd4c      LDST64_ABS_LO12_NC     __stack_chk_guard
  0xdf0      CALL26                 __get_task_comm
  0xdf4      ADR_PREL_PG_HI21       .rodata+0x5e5
  0xe08      ADD_ABS_LO12_NC        .rodata+0x5e5
  0xe30      CALL26                 __get_task_comm
  0xe40      ADR_PREL_PG_HI21       .rodata+0x20c
  0xe50      ADD_ABS_LO12_NC        .rodata+0x20c
  0xe58      ADR_PREL_PG_HI21       .rodata+0x71c
  0xe5c      ADD_ABS_LO12_NC        .rodata+0x71c
  0xe90      CALL26                 snprintf
  0xe98      ADR_PREL_PG_HI21       .rodata+0x4ef
  0xe9c      ADD_ABS_LO12_NC        .rodata+0x4ef
  0xea8      CALL26                 printk
  0xeb8      CALL26                 strlen
  0xec8      CALL26                 memcpy
  0xed0      CALL26                 kevent_send_to_user
  0xedc      CALL26                 kfree
  0xee4      ADR_PREL_PG_HI21       .rodata+0x3e6
  0xee8      ADD_ABS_LO12_NC        .rodata+0x3e6
  0xeec      CALL26                 printk
  0xef4      CALL26                 __stack_chk_fail
  0xf18      ADR_PREL_PG_HI21       .data..ro_after_init
  0xf1c      LDST8_ABS_LO12_NC      .data..ro_after_init
  0xf5c      CALL26                 capable
  0xf8c      CALL26                 .text+0xc80
  0xf90      ADR_PREL_PG_HI21       .rodata+0x7a2
  0xf94      ADD_ABS_LO12_NC        .rodata+0x7a2
  0xfa0      CALL26                 printk
  0xfac      JUMP26                 init_module
  0xfb4      JUMP26                 cleanup_module
  0xfbc      JUMP26                 oplus_RWO_root_check
  0xfc4      JUMP26                 oplus_root_check_pre_handler
  0xfcc      JUMP26                 oplus_root_check_post_handler
  0xfd4      JUMP26                 oplus_exe_block_ret_handler
  0xfdc      JUMP26                 oplus_harden_pre_handler


# .text relocations, oplus_secure_harden.ko
# relocations for .text: 291 entries
# offset     type                   target
  0x4c       ADR_PREL_PG_HI21       .text+0xdb0
  0x50       ADD_ABS_LO12_NC        .text+0xdb0
  0x88       ADR_PREL_PG_HI21       .text+0xde0
  0x8c       ADD_ABS_LO12_NC        .text+0xde0
  0x94       ADR_PREL_PG_HI21       .text+0xdb8
  0x98       ADD_ABS_LO12_NC        .text+0xdb8
  0xb8       CALL26                 __cfi_check_fail
  0xc8       ADR_PREL_PG_HI21       .text+0xda8
  0xcc       ADD_ABS_LO12_NC        .text+0xda8
  0x120      ADR_PREL_PG_HI21       __stack_chk_guard
  0x124      LDST64_ABS_LO12_NC     __stack_chk_guard
  0x14c      CALL26                 memset
  0x150      ADR_PREL_PG_HI21       .rodata+0x55d
  0x154      ADD_ABS_LO12_NC        .rodata+0x55d
  0x188      CALL26                 strncpy
  0x194      ADR_PREL_PG_HI21       .rodata+0x1c
  0x19c      ADD_ABS_LO12_NC        .rodata+0x1c
  0x1b4      CALL26                 snprintf
  0x1cc      CALL26                 kevent_send_to_user
  0x1d0      ADR_PREL_PG_HI21       __stack_chk_guard
  0x1d8      LDST64_ABS_LO12_NC     __stack_chk_guard
  0x204      CALL26                 __stack_chk_fail
  0x224      ADR_PREL_PG_HI21       __stack_chk_guard
  0x228      LDST64_ABS_LO12_NC     __stack_chk_guard
  0x248      ADR_PREL_PG_HI21       verified_bootstate
  0x24c      ADR_PREL_PG_HI21       .rodata+0x520
  0x254      ADD_ABS_LO12_NC        verified_bootstate
  0x258      ADD_ABS_LO12_NC        .rodata+0x520
  0x25c      CALL26                 strstr
  0x26c      CALL26                 ktime_get_real_ts64
  0x280      ADR_PREL_PG_HI21       .rodata
  0x284      ADD_ABS_LO12_NC        .rodata
  0x29c      ADR_PREL_PG_HI21       heapspary_cpuinfo
  0x2a0      LDST32_ABS_LO12_NC     heapspary_cpuinfo
  0x2ac      ADR_PREL_PG_HI21       heapspary_cpuinfo+0x8
  0x2b0      LDST32_ABS_LO12_NC     heapspary_cpuinfo+0x8
  0x2b4      ADR_PREL_PG_HI21       heapspary_cpuinfo+0x4
  0x2c4      ADR_PREL_PG_HI21       heapspary_cpuinfo+0x4
  0x2c8      ADD_ABS_LO12_NC        heapspary_cpuinfo+0x4
  0x2d8      ADR_PREL_PG_HI21       heapspary_ip4
  0x2dc      LDST32_ABS_LO12_NC     heapspary_ip4
  0x2e8      ADR_PREL_PG_HI21       heapspary_ip4+0x8
  0x2ec      LDST32_ABS_LO12_NC     heapspary_ip4+0x8
  0x2f0      ADR_PREL_PG_HI21       heapspary_ip4+0x4
  0x300      ADR_PREL_PG_HI21       heapspary_ip4+0x4
  0x304      ADD_ABS_LO12_NC        heapspary_ip4+0x4
  0x314      ADR_PREL_PG_HI21       heapspary_ip4+0xc
  0x318      LDST32_ABS_LO12_NC     heapspary_ip4+0xc
  0x324      ADR_PREL_PG_HI21       heapspary_ip4+0x14
  0x328      LDST32_ABS_LO12_NC     heapspary_ip4+0x14
  0x32c      ADR_PREL_PG_HI21       heapspary_ip4+0x10
  0x33c      ADR_PREL_PG_HI21       heapspary_ip4+0x10
  0x340      ADD_ABS_LO12_NC        heapspary_ip4+0x10
  0x350      ADR_PREL_PG_HI21       heapspary_ip4+0x18
  0x354      LDST32_ABS_LO12_NC     heapspary_ip4+0x18
  0x360      ADR_PREL_PG_HI21       heapspary_ip4+0x20
  0x364      LDST32_ABS_LO12_NC     heapspary_ip4+0x20
  0x368      ADR_PREL_PG_HI21       heapspary_ip4+0x1c
  0x378      ADR_PREL_PG_HI21       heapspary_ip4+0x1c
  0x37c      ADD_ABS_LO12_NC        heapspary_ip4+0x1c
  0x38c      ADR_PREL_PG_HI21       heapspary_xttr
  0x390      LDST32_ABS_LO12_NC     heapspary_xttr
  0x39c      ADR_PREL_PG_HI21       heapspary_xttr+0x8
  0x3a0      LDST32_ABS_LO12_NC     heapspary_xttr+0x8
  0x3a4      ADR_PREL_PG_HI21       heapspary_xttr+0x4
  0x3b4      ADR_PREL_PG_HI21       heapspary_xttr+0x4
  0x3b8      ADD_ABS_LO12_NC        heapspary_xttr+0x4
  0x3c8      ADR_PREL_PG_HI21       heapspary_ip6
  0x3cc      LDST32_ABS_LO12_NC     heapspary_ip6
  0x3d8      ADR_PREL_PG_HI21       heapspary_ip6+0x8
  0x3dc      LDST32_ABS_LO12_NC     heapspary_ip6+0x8
  0x3e0      ADR_PREL_PG_HI21       heapspary_ip6+0x4
  0x3f0      ADR_PREL_PG_HI21       heapspary_ip6+0x4
  0x3f4      ADD_ABS_LO12_NC        heapspary_ip6+0x4
  0x404      ADR_PREL_PG_HI21       heapspary_ip6+0xc
  0x408      LDST32_ABS_LO12_NC     heapspary_ip6+0xc
  0x414      ADR_PREL_PG_HI21       heapspary_ip6+0x14
  0x418      LDST32_ABS_LO12_NC     heapspary_ip6+0x14
  0x41c      ADR_PREL_PG_HI21       heapspary_ip6+0x10
  0x42c      ADR_PREL_PG_HI21       heapspary_ip6+0x10
  0x430      ADD_ABS_LO12_NC        heapspary_ip6+0x10
  0x43c      ADR_PREL_PG_HI21       heapspary_ip4
  0x440      ADD_ABS_LO12_NC        heapspary_ip4
  0x448      ADR_PREL_PG_HI21       heapspary_ip4+0xc
  0x44c      ADD_ABS_LO12_NC        heapspary_ip4+0xc
  0x454      ADR_PREL_PG_HI21       heapspary_ip4+0x18
